minUtil: 4804
304: 14.23: 13607
1373: 13.55: 25560
272: 13.54: 22678
1293: 12.66: 8352
1292: 12.6: 24642
545: 12.1: 9419
357: 11.97: 11520
634: 11.88: 11881
617: 11.75: 7527
1423: 11.75: 16116
916: 11.68: 15163
1012: 11.65: 19861
903: 11.62: 14616
831: 11.39: 8848
888: 11.38: 5280
918: 11.38: 18414
1390: 11.26: 12415
404: 11.02: 7000
308: 10.94: 11554
1351: 10.9: 9352
1451: 10.9: 7614
1315: 10.88: 9612
599: 10.79: 12519
932: 10.78: 8262
1161: 10.54: 21540
276: 10.37: 18528
718: 10.36: 9741
520: 10.36: 14840
386: 10.29: 10927
1362: 10.29: 8046
1439: 10.25: 8400
447: 10.23: 17856
1220: 10.18: 11700
1508: 10.16: 19116
1399: 10.11: 10324
1110: 10.1: 17920
378: 10.08: 5994
69: 10.07: 16430
1282: 10.05: 18232
749: 10.03: 11748
602: 10.0: 13696
1442: 9.99: 10332
1426: 9.96: 21692
391: 9.95: 8777
501: 9.87: 6227
307: 9.83: 7400
1456: 9.82: 8784
200: 9.8: 12190
326: 9.77: 13091
1347: 9.71: 9912
1224: 9.67: 6944
1291: 9.65: 12642
73: 9.65: 11184
1487: 9.64: 5320
246: 9.63: 17655
1257: 9.62: 9505
311: 9.57: 8600
247: 9.52: 9256
54: 9.51: 12889
1118: 9.5: 13178
1045: 9.48: 21090
27: 9.44: 16165
1464: 9.44: 14800
1048: 9.43: 11713
812: 9.41: 14696
1473: 9.4: 13452
640: 9.36: 13209
1264: 9.35: 11985
222: 9.33: 22910
969: 9.33: 7920
278: 9.33: 18480
434: 9.33: 7384
988: 9.3: 24187
266: 9.29: 10692
419: 9.29: 14994
219: 9.27: 11844
382: 9.27: 9072
435: 9.24: 14433
1516: 9.22: 15792
1217: 9.21: 7239
890: 9.18: 12789
1308: 9.18: 12642
728: 9.17: 11528
175: 9.14: 19635
449: 9.12: 15867
1357: 9.1: 11653
1281: 9.1: 13573
813: 9.09: 7967
566: 9.05: 7120
604: 9.04: 6250
1394: 9.01: 10870
1547: 9.0: 12614
1338: 8.99: 10656
281: 8.97: 14465
470: 8.96: 18259
941: 8.96: 18565
1104: 8.96: 13965
383: 8.89: 14300
685: 8.87: 9333
1119: 8.86: 13314
1472: 8.86: 12760
